"subject_id" "activity" "variable"                         "mean"
"25" 1 "WALKING" "Time Domain Signal of BodyGyroJerk-mean-X" -0.0899975423705263
"26" 1 "WALKING" "Time Domain Signal of BodyGyroJerk-mean-Y" -0.0398428709463158
"27" 1 "WALKING" "Time Domain Signal of BodyGyroJerk-mean-Z" -0.0461309295021053
"28" 1 "WALKING" "Time Domain Signal of BodyGyroJerk-std-X" -0.207421854757895
"29" 1 "WALKING" "Time Domain Signal of BodyGyroJerk-std-Y" -0.304468510631579
"30" 1 "WALKING" "Time Domain Signal of BodyGyroJerk-std-Z" -0.404255452631579
"31" 1 "WALKING" "Time Domain Signal of BodyAccMag-mean" -0.136971176556842
"32" 1 "WALKING" "Time Domain Signal of BodyAccMag-std" -0.219688645631579
"33" 1 "WALKING" "Time Domain Signal of GravityAccMag-mean" -0.136971176556842
"34" 1 "WALKING" "Time Domain Signal of GravityAccMag-std" -0.219688645631579
"35" 1 "WALKING" "Time Domain Signal of BodyAccJerkMag-mean" -0.141428809031579
"36" 1 "WALKING" "Time Domain Signal of BodyAccJerkMag-std" -0.0744717500625263
"37" 1 "WALKING" "Time Domain Signal of BodyGyroMag-mean" -0.160979552536842
"38" 1 "WALKING" "Time Domain Signal of BodyGyroMag-std" -0.186978364526316
"39" 1 "WALKING" "Time Domain Signal of BodyGyroJerkMag-mean" -0.298703679084211
"40" 1 "WALKING" "Time Domain Signal of BodyGyroJerkMag-std" -0.325324878894737
"41" 1 "WALKING" "Fast Fourier Transform BodyAcc-mean-X" -0.202794306326316
"42" 1 "WALKING" "Fast Fourier Transform BodyAcc-mean-Y" 0.0897127264021053
"43" 1 "WALKING" "Fast Fourier Transform BodyAcc-mean-Z" -0.331560117789474
"44" 1 "WALKING" "Fast Fourier Transform BodyAcc-std-X" -0.319134719578947
"45" 1 "WALKING" "Fast Fourier Transform BodyAcc-std-Y" 0.056040006846
"46" 1 "WALKING" "Fast Fourier Transform BodyAcc-std-Z" -0.279686751494737
"47" 1 "WALKING" "Fast Fourier Transform BodyAcc-meanFreq-X" -0.207548374494737
"48" 1 "WALKING" "Fast Fourier Transform BodyAcc-meanFreq-Y" 0.113093646103158
"49" 1 "WALKING" "Fast Fourier Transform BodyAcc-meanFreq-Z" 0.0497265196172632
"50" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-mean-X" -0.170546964549579
"51" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-mean-Y" -0.0352255241130632
"52" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-mean-Z" -0.468999224631579
"53" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-std-X" -0.133586606326316
"54" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-std-Y" 0.106739857136
"55" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-std-Z" -0.534713440421053
"56" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-meanFreq-X" -0.209261973376842
"57" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-meanFreq-Y" -0.386237143210526
"58" 1 "WALKING" "Fast Fourier Transform BodyAccJerk-meanFreq-Z" -0.185530281244211
"59" 1 "WALKING" "Fast Fourier Transform BodyGyro-mean-X" -0.339032197115789
"60" 1 "WALKING" "Fast Fourier Transform BodyGyro-mean-Y" -0.103059416434737
"61" 1 "WALKING" "Fast Fourier Transform BodyGyro-mean-Z" -0.255940940315789
"62" 1 "WALKING" "Fast Fourier Transform BodyGyro-std-X" -0.516691938736842
"63" 1 "WALKING" "Fast Fourier Transform BodyGyro-std-Y" -0.0335081597884211
"64" 1 "WALKING" "Fast Fourier Transform BodyGyro-std-Z" -0.436562227473684
"65" 1 "WALKING" "Fast Fourier Transform BodyGyro-meanFreq-X" 0.0147844986621053
"66" 1 "WALKING" "Fast Fourier Transform BodyGyro-meanFreq-Y" -0.0657746190010526
"67" 1 "WALKING" "Fast Fourier Transform BodyGyro-meanFreq-Z" 0.00077332156431579
"68" 1 "WALKING" "Fast Fourier Transform BodyAccMag-mean" -0.128623450629474
"69" 1 "WALKING" "Fast Fourier Transform BodyAccMag-std" -0.398032586842105
"70" 1 "WALKING" "Fast Fourier Transform BodyAccMag-meanFreq" 0.1906437244
"71" 1 "WALKING" "Fast Fourier Transform BodyBodyAccJerkMag-mean" -0.0571194000343158
"72" 1 "WALKING" "Fast Fourier Transform BodyBodyAccJerkMag-std" -0.103492403002105
"73" 1 "WALKING" "Fast Fourier Transform BodyBodyAccJerkMag-meanFreq" 0.0938221807027368
"74" 1 "WALKING" "Fast Fourier Transform BodyBodyGyroMag-mean" -0.199252568986316
"75" 1 "WALKING" "Fast Fourier Transform BodyBodyGyroMag-std" -0.321017953894737
"76" 1 "WALKING" "Fast Fourier Transform BodyBodyGyroMag-meanFreq" 0.268844367525895
"77" 1 "WALKING" "Fast Fourier Transform BodyBodyGyroJerkMag-mean" -0.319308593778947
"78" 1 "WALKING" "Fast Fourier Transform BodyBodyGyroJerkMag-std" -0.381601911789474
"79" 1 "WALKING" "Fast Fourier Transform BodyBodyGyroJerkMag-meanFreq" 0.190663448793684
"80" 1 "WALKING" "Angle of tBodyAccMean,gravity" 0.0604537474147368
"81" 1 "WALKING" "Angle of tBodyAccJerkMean,gravityMean" -0.00793037848421052
"82" 1 "WALKING" "Angle of tBodyGyroMean,gravityMean" 0.0130594907157895
"83" 1 "WALKING" "Angle of tBodyGyroJerkMean,gravityMean" -0.0187431910452632
"84" 1 "WALKING" "Angle of X,gravityMean" -0.729247201052632
"85" 1 "WALKING" "Angle of Y,gravityMean" 0.276953023473684
"86" 1 "WALKING" "Angle of Z,gravityMean" 0.0688589119894737
"87" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAcc-mean-X" 0.255461689622641
"88" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAcc-mean-Y" -0.0239531492643396
"89" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAcc-mean-Z" -0.0973020020943396
"90" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAcc-std-X" -0.35470802509434
"91" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAcc-std-Y" -0.00232026501698113
"92" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAcc-std-Z" -0.0194792388471698
"93" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAcc-mean-X" 0.89335109754717
"94" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAcc-mean-Y" -0.362153364339623
"95" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAcc-mean-Z" -0.075402939754717
"96" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAcc-std-X" -0.956367027924528
"97" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAcc-std-Y" -0.952849233207547
"98" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAcc-std-Z" -0.912379410377358
"99" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerk-mean-X" 0.101372729922642
"100" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerk-mean-Y" 0.0194863076188679
"101" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerk-mean-Z" -0.0455625449113208
"102" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerk-std-X" -0.446843887735849
"103" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerk-std-Y" -0.378274426037736
"104" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerk-std-Z" -0.706593530943396
"105" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyro-mean-X" 0.050549379754717
"106" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyro-mean-Y" -0.166170015088679
"107" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyro-mean-Z" 0.0583595463981132
"108" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyro-std-X" -0.544871104528302
"109" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyro-std-Y" 0.00410518379811321
"110" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyro-std-Z" -0.50716867490566
"111" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerk-mean-X" -0.122232768011321
"112" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerk-mean-Y" -0.0421485884509434
"113" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerk-mean-Z" -0.0407125527654717
"114" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerk-std-X" -0.614786508490566
"115" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerk-std-Y" -0.601696656226415
"116" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerk-std-Z" -0.606332002264151
"117" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccMag-mean" -0.129927630735849
"118" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccMag-std" -0.324970929245283
"119" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAccMag-mean" -0.129927630735849
"120" 1 "WALKING_UPSTAIRS" "Time Domain Signal of GravityAccMag-std" -0.324970929245283
"121" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerkMag-mean" -0.466503446226415
"122" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyAccJerkMag-std" -0.478991622075472
"123" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroMag-mean" -0.126735589969811
"124" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroMag-std" -0.14861931805283
"125" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerkMag-mean" -0.59488286509434
"126" 1 "WALKING_UPSTAIRS" "Time Domain Signal of BodyGyroJerkMag-std" -0.648553044339623
"127" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-mean-X" -0.404321784150943
"128" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-mean-Y" -0.190976720811321
"129" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-mean-Z" -0.433349702075472
"130" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-std-X" -0.337428188679245
"131" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-std-Y" 0.0217695106566038
"132" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-std-Z" 0.0859565543849057
"133" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-meanFreq-X" -0.418735000377359
"134" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-meanFreq-Y" -0.160697213516981
"135" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAcc-meanFreq-Z" -0.520114793584906
"136" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-mean-X" -0.479875245660377
"137" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-mean-Y" -0.41344458754717
"138" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-mean-Z" -0.685474353962264
"139" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-std-X" -0.461907025849057
"140" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-std-Y" -0.381777065283019
"141" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-std-Z" -0.726040200754717
"142" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-meanFreq-X" -0.377023128301887
"143" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-meanFreq-Y" -0.509495531698113
"144" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccJerk-meanFreq-Z" -0.551104284150943
"145" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-mean-X" -0.492611667924528
"146" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-mean-Y" -0.319474609056604
"147" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-mean-Z" -0.453597213018868
"148" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-std-X" -0.565892490754717
"149" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-std-Y" 0.151538905566038
"150" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-std-Z" -0.57170784
"151" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-meanFreq-X" -0.187450247737736
"152" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-meanFreq-Y" -0.473574786603774
"153" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyGyro-meanFreq-Z" -0.133373904258491
"154" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccMag-mean" -0.352395944716981
"155" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccMag-std" -0.416260101509434
"156" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyAccMag-meanFreq" -0.0977433496415094
"157" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyAccJerkMag-mean" -0.44265216245283
"158" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyAccJerkMag-std" -0.533059853773585
"159" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyAccJerkMag-meanFreq" 0.085352409154717
"160" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyGyroMag-mean" -0.325961457396226
"161" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyGyroMag-std" -0.182985518264151
"162" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyGyroMag-meanFreq" -0.219303376110566
"163" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyGyroJerkMag-mean" -0.634665082075472
"164" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyGyroJerkMag-std" -0.693930521509434
"165" 1 "WALKING_UPSTAIRS" "Fast Fourier Transform BodyBodyGyroJerkMag-meanFreq" 0.114277342454717
"166" 1 "WALKING_UPSTAIRS" "Angle of tBodyAccMean,gravity" 0.0960860761792453
"167" 1 "WALKING_UPSTAIRS" "Angle of tBodyAccJerkMean,gravityMean" -0.0610838413018868
"168" 1 "WALKING_UPSTAIRS" "Angle of tBodyGyroMean,gravityMean" -0.194699963113208
"169" 1 "WALKING_UPSTAIRS" "Angle of tBodyGyroJerkMean,gravityMean" 0.0656835692641509
"170" 1 "WALKING_UPSTAIRS" "Angle of X,gravityMean" -0.647195664339623
"171" 1 "WALKING_UPSTAIRS" "Angle of Y,gravityMean" 0.334763277358491
"172" 1 "WALKING_UPSTAIRS" "Angle of Z,gravityMean" 0.0741663682075472
"173" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAcc-mean-X" 0.289188320408163
"174" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAcc-mean-Y" -0.00991850461020408
"175" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAcc-mean-Z" -0.107566190908163
"176" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAcc-std-X" 0.0300353383483878
"177" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAcc-std-Y" -0.0319359434489796
"178" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAcc-std-Z" -0.230434213204082
"179" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAcc-mean-X" 0.931874418979592
"180" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAcc-mean-Y" -0.266610338979592
"181" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAcc-mean-Z" -0.0621199585938775
"182" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAcc-std-X" -0.950559811632653
"183" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAcc-std-Y" -0.937018658979592
"184" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAcc-std-Z" -0.895939695102041
"185" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerk-mean-X" 0.0541553164897959
"186" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerk-mean-Y" 0.0296504490408163
"187" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerk-mean-Z" -0.0109719730183673
"188" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerk-std-X" -0.012283860544898
"189" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerk-std-Y" -0.101601390640816
"190" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerk-std-Z" -0.345735032326531
"191" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyro-mean-X" -0.0350781902989796
"192" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyro-mean-Y" -0.0909371290204082
"193" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyro-mean-Z" 0.0900850142030612
"194" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyro-std-X" -0.458030542938775
"195" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyro-std-Y" -0.126349194938775
"196" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyro-std-Z" -0.124702454242857
"197" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerk-mean-X" -0.0739592036271429
"198" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerk-mean-Y" -0.0439902783367347
"199" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerk-mean-Z" -0.0270461061061224
"200" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerk-std-X" -0.487027342244898
"201" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerk-std-Y" -0.238824827530612
"202" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerk-std-Z" -0.268761480242857
"203" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccMag-mean" 0.0271882914106122
"204" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccMag-std" 0.0198843506265306
"205" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAccMag-mean" 0.0271882914106122
"206" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of GravityAccMag-std" 0.0198843506265306
"207" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerkMag-mean" -0.0894474807979592
"208" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyAccJerkMag-std" -0.0257877197081633
"209" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroMag-mean" -0.0757412543673469
"210" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroMag-std" -0.225724368061224
"211" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerkMag-mean" -0.295463843346939
"212" 1 "WALKING_DOWNSTAIRS" "Time Domain Signal of BodyGyroJerkMag-std" -0.306510645530612
"213" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-mean-X" 0.0382291831510204
"214" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-mean-Y" 0.00154990783591837
"215" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-mean-Z" -0.225574471693878
"216" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-std-X" 0.0243308391387755
"217" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-std-Y" -0.112963739953061
"218" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-std-Z" -0.297927894693878
"219" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-meanFreq-X" -0.307395198687755
"220" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-meanFreq-Y" 0.0632200839346939
"221" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAcc-meanFreq-Z" 0.294322700810612
"222" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-mean-X" -0.0276638676122449
"223" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-mean-Y" -0.12866715764898
"224" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-mean-Z" -0.288334735714286
"225" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-std-X" -0.0863278966402041
"226" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-std-Y" -0.134580008877551
"227" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-std-Z" -0.401721464285714
"228" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-meanFreq-X" -0.253164344918367
"229" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-meanFreq-Y" -0.33758970122449
"230" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccJerk-meanFreq-Z" 0.00937223889183673
"231" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-mean-X" -0.352449631363265
"232" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-mean-Y" -0.0557022524693878
"233" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-mean-Z" -0.0318694271979592
"234" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-std-X" -0.495422486102041
"235" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-std-Y" -0.181414728657143
"236" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-std-Z" -0.238443565306122
"237" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-meanFreq-X" -0.100453729040816
"238" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-meanFreq-Y" 0.0825511487183673
"239" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyGyro-meanFreq-Z" -0.0756762067714286
"240" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccMag-mean" 0.0965845343040816
"241" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccMag-std" -0.186530301073469
"242" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyAccMag-meanFreq" 0.119187142767959
"243" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyAccJerkMag-mean" 0.0262184949326531
"244" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyAccJerkMag-std" -0.104052260726531
"245" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyAccJerkMag-meanFreq" 0.0764915474326531
"246" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyGyroMag-mean" -0.185720285744898
"247" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyGyroMag-std" -0.398350390122449
"248" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyGyroMag-meanFreq" 0.349613895469388
"249" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyGyroJerkMag-mean" -0.281963359177551
"250" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyGyroJerkMag-std" -0.391919876612245
"251" 1 "WALKING_DOWNSTAIRS" "Fast Fourier Transform BodyBodyGyroJerkMag-meanFreq" 0.190000706165102
"252" 1 "WALKING_DOWNSTAIRS" "Angle of tBodyAccMean,gravity" -0.00269512515918367
"253" 1 "WALKING_DOWNSTAIRS" "Angle of tBodyAccJerkMean,gravityMean" 0.0899316865510204
"254" 1 "WALKING_DOWNSTAIRS" "Angle of tBodyGyroMean,gravityMean" 0.0633382849183673
"255" 1 "WALKING_DOWNSTAIRS" "Angle of tBodyGyroJerkMean,gravityMean" -0.0399768458163265
"256" 1 "WALKING_DOWNSTAIRS" "Angle of X,gravityMean" -0.744483753469388
"257" 1 "WALKING_DOWNSTAIRS" "Angle of Y,gravityMean" 0.267245784693878
"258" 1 "WALKING_DOWNSTAIRS" "Angle of Z,gravityMean" 0.0650047072244898
"259" 1 "SITTING" "Time Domain Signal of BodyAcc-mean-X" 0.261237565425532
"260" 1 "SITTING" "Time Domain Signal of BodyAcc-mean-Y" -0.00130828765170213
"261" 1 "SITTING" "Time Domain Signal of BodyAcc-mean-Z" -0.104544182255319
"262" 1 "SITTING" "Time Domain Signal of BodyAcc-std-X" -0.977229008297872
"263" 1 "SITTING" "Time Domain Signal of BodyAcc-std-Y" -0.922618641914894
"264" 1 "SITTING" "Time Domain Signal of BodyAcc-std-Z" -0.93958629106383
"265" 1 "SITTING" "Time Domain Signal of GravityAcc-mean-X" 0.831509933404255
"266" 1 "SITTING" "Time Domain Signal of GravityAcc-mean-Y" 0.204411592680851
"267" 1 "SITTING" "Time Domain Signal of GravityAcc-mean-Z" 0.332043702765957
"268" 1 "SITTING" "Time Domain Signal of GravityAcc-std-X" -0.968457145744681
"269" 1 "SITTING" "Time Domain Signal of GravityAcc-std-Y" -0.935517055957447
"270" 1 "SITTING" "Time Domain Signal of GravityAcc-std-Z" -0.949040933191489
"271" 1 "SITTING" "Time Domain Signal of BodyAccJerk-mean-X" 0.0774825199574468
"272" 1 "SITTING" "Time Domain Signal of BodyAccJerk-mean-Y" -0.000619102785106384
